@relation oneGaussianTwoMultinomial

@attribute A {1,2}
@attribute B {1,2,3}
@attribute C real

@data
2,3,0.454156
2,3,0.304424
2,3,1.897717
2,3,0.371111
1,2,1.955938
1,1,-0.02532
2,3,0.021381
1,3,2.122201
1,2,1.926431
2,2,1.305706
2,2,1.065163
2,3,-0.12658
1,2,0.898591
2,1,-0.89755
2,3,1.141384
1,3,0.147056
2,3,0.922667
2,3,-0.31671
2,3,-0.85469
2,3,-0.48641
2,3,0.556781
2,3,0.615097
2,3,-0.14984
2,2,-0.77653
2,2,1.401298
1,1,1.404227
2,1,0.588991
2,2,0.80431
1,3,-0.89342
1,1,0.537733
1,3,1.908075
2,3,-1.11612
2,2,1.871061
2,3,-0.41147
2,2,-2.34679
2,3,1.31049
2,2,1.770175
2,2,1.401961
1,2,0.933327
1,2,-1.50554
2,3,-1.02646
2,3,1.288186
2,3,-1.46804
2,3,1.448634
2,2,-0.08662
2,1,0.325892
2,3,0.601371
2,3,-0.24359
2,2,0.843173
2,3,0.704845
2,3,-0.59626
2,3,1.127246
2,1,-0.30265
2,2,1.404398
2,3,0.060823
1,3,2.395259
2,2,-0.64521
2,3,0.226762
2,1,0.940503
1,2,0.17466
2,2,0.623232
1,3,1.296029
2,3,0.383244
2,2,2.039687
1,3,1.251401
2,3,-0.17589
2,3,1.319016
2,2,-0.59326
1,1,0.587391
2,2,0.780296
2,3,2.50767
2,1,0.402848
2,3,-0.02626
2,3,0.018289
2,2,1.447809
2,2,0.876703
2,2,2.301797
2,3,1.640374
2,3,0.363958
1,3,0.157638
2,3,-2.63250
2,3,-0.28472
2,2,0.916182
2,3,1.658361
2,2,1.73984
1,3,1.230899
2,3,1.522531
1,2,0.050266
2,3,0.642758
2,3,0.285042
2,2,-0.12017
1,3,0.896541
1,3,2.30434
1,1,0.065272
2,2,2.871232
1,3,2.334501
2,2,1.623788
2,3,-0.00397
2,2,1.086533
2,3,-1.56315
1,3,-1.07151
2,2,-0.09459
1,2,1.074143
2,3,1.303539
2,2,1.721394
2,3,2.846978
2,3,-0.06586
2,3,0.264497
2,2,1.078876
2,1,0.114156
2,3,0.38791
2,3,0.99951
2,1,1.59075
2,3,0.362733
1,2,0.094099
1,3,0.219223
2,3,-0.45570
2,2,-1.85944
2,3,-1.36055
2,2,0.303789
2,3,0.340549
2,3,0.40863
2,3,0.640187
1,2,1.524377
1,3,-0.06627
2,2,0.526304
2,3,1.421752
2,1,-0.73857
2,3,-0.90412
2,1,2.121021
2,3,0.932805
2,3,2.791692
2,3,0.975914
2,3,1.432146
2,3,-0.46952
1,3,-0.69309
2,3,1.138172
2,2,1.476206
2,2,1.516015
2,3,0.659427
1,3,0.536209
2,3,1.067452
1,3,0.85579
1,3,-0.42317
2,3,-0.44384
2,3,-0.29168
2,1,1.712304
2,3,1.542942
2,3,-0.03464
2,2,0.34131
2,2,0.033304
2,3,0.29127
2,2,0.180113
2,3,0.227348
2,1,2.451119
1,3,1.009033
2,2,1.05383
2,2,2.009335
2,3,-0.83519
2,3,0.017772
2,3,-0.15437
1,3,0.782965
2,3,2.34352
2,3,0.807776
2,3,0.131062
2,2,-0.20539
1,3,1.455692
2,2,1.285544
2,3,1.687211
2,2,1.781247
2,2,0.332483
1,2,1.577751
1,2,1.235603
2,3,0.031258
1,2,0.328267
2,2,0.753676
2,2,-0.98565
1,3,0.081035
1,3,-0.99331
2,3,-0.78813
2,3,-0.97879
2,3,0.932207
2,2,0.858627
1,1,-0.98537
2,3,2.225103
1,3,-0.5239
2,2,-1.25171
1,3,-1.02243
2,2,-1.06930
2,3,-0.06597
2,2,2.135656
1,2,0.576236
2,2,1.248676
1,1,0.450099
2,1,0.45241
2,3,1.024663
1,3,-1.12940
2,2,1.818599
2,2,0.855969
2,3,0.116167
2,3,1.197809
1,3,0.294286
1,3,-0.85329
1,2,1.105049
1,1,0.815512
2,3,-0.06821
2,3,1.22197
2,2,1.15678
2,3,-0.14183
2,3,1.318501
2,2,1.588921
