@relation sprinklerData300_rain_cloudy

@attribute cloudy {1,2}
@attribute rain {1,2}

@data
1,1
1,1
2,2
2,2
2,2
1,2
1,1
2,2
1,1
2,1
2,2
2,2
1,1
1,1
1,1
2,2
1,1
1,2
1,2
2,2
2,1
2,2
2,1
1,2
1,1
1,1
1,1
2,2
2,2
1,2
1,1
2,2
1,1
2,2
1,2
1,2
1,1
2,2
2,2
1,1
1,2
2,2
1,1
2,2
2,2
2,2
1,1
1,2
2,2
1,2
2,1
2,2
2,1
2,2
1,1
1,1
1,1
1,2
1,1
2,2
1,1
2,2
1,2
1,1
1,2
2,2
2,2
2,2
1,1
1,1
1,1
2,2
1,1
1,1
1,2
2,2
2,2
2,2
2,2
2,2
2,2
1,1
1,1
1,2
2,2
1,1
1,1
1,1
1,1
1,2
2,2
1,1
2,2
2,2
2,2
1,1
2,2
1,1
2,2
2,2
1,1
1,1
2,2
2,1
1,2
1,1
2,2
2,2
2,1
2,2
1,2
2,2
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,2
1,1
1,2
1,1
1,1
1,1
2,1
1,1
2,2
1,1
2,2
2,2
2,2
1,1
1,1
1,1
1,1
1,1
1,2
2,2
2,2
1,1
1,1
2,2
2,2
1,1
1,2
2,2
1,1
2,2
2,1
1,1
2,2
1,1
2,2
2,1
2,2
2,2
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,1
1,1
2,1
2,1
2,1
1,1
2,2
2,2
2,2
1,1
1,1
2,1
2,1
2,2
2,2
2,2
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,1
1,1
2,1
1,1
1,1
2,2
2,1
2,2
2,2
2,2
2,2
1,1
1,1
1,2
2,2
2,1
2,2
2,2
2,2
1,1
2,2
1,2
1,1
1,2
1,1
1,2
2,2
2,2
1,2
1,1
2,2
2,2
1,2
1,1
2,2
2,1
2,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
1,2
2,1
1,1
1,1
1,1
2,2
2,1
2,2
2,1
2,2
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
1,1
2,2
1,1
2,2
1,1
1,1
2,1
1,1
1,2
1,1
1,2
1,1
2,2
1,2
1,1
1,1
1,1
1,1
2,2
2,2
2,1
2,2
1,1
1,1
2,2
2,2
1,1
2,2
2,1
1,1
1,2
1,1
1,1
2,1
1,1
1,1
1,1
2,1
1,1
2,2
2,1
1,1
2,2
1,1
1,1
2,1
